评论时间,处理内容,评论者IP归属地,评论内容,用户地理位置,评论者性别
23年04月15日 15:55,幸好没教零元购，还能付钱。,来自福建,幸好没教零元购，还能付钱。,青海,男
23年04月15日 15:45,"回复<a href=/n/时来追 usercard=""name=@时来追"">@时来追</a>:这……不至于吧，我现在的目标就是赚钱",来自北京,回复@时来追:这……不至于吧，我现在的目标就是赚钱,北京 昌平区,女
23年04月15日 15:42,这句话怎么说呢，却从来没人教怎么赚钱,来自江西,这句话怎么说呢，却从来没人教怎么赚钱,其他,男
23年04月15日 15:16,人生的目的，赚钱的同时享受人生，两者都重要,来自浙江,人生的目的，赚钱的同时享受人生，两者都重要,其他,男
23年04月15日 14:57,终于有人发现了，人生的目的，不只是挣钱。如果你真的是所有的目的都为了赚钱，那你最后终将一无所有，因为你会为了这个目的不择手段。,来自广东,终于有人发现了，人生的目的，不只是挣钱。如果你真的是所有的目的都为了赚钱，那你最后终将一无所有，因为你会为了这个目的不择手段。,山东,女
23年04月15日 15:05,如果那样，干脆都别活了,来自山东,如果那样，干脆都别活了,海外,男
23年04月15日 14:58,"小孩就是机器人<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />",来自广东,小孩就是机器人[二哈],广东 广州,男
23年04月15日 22:32,"前几天刚看了ai精准切平菇<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />",来自上海,前几天刚看了ai精准切平菇[二哈],上海,女
23年04月16日 10:50,"回复<a href=/n/A-liceF usercard=""name=@A-liceF"">@A-liceF</a>:你觉得你们这种言论，特像反对人工智能，像不像古代别人说地球是圆的，就把人烧死得暴徒？",来自北京,回复@A-liceF:你觉得你们这种言论，特像反对人工智能，像不像古代别人说地球是圆的，就把人烧死得暴徒？,北京 昌平区,女
23年04月16日 10:48,"回复<a href=/n/A-liceF usercard=""name=@A-liceF"">@A-liceF</a>:？？中国古代不是男的还当不了官，那时候大部分职业还都是农民，那你现在在干嘛？有工作么？是农民么？各个时代都有各个时代需要的韭菜，谁也看不到未来，不知道科技会发展成什么样。十年前，只有2g，付款要现金，你现在还不是适应了移动支付？咱不懂人工智能，当不了科学家，职业只有科学家一种是吧？",来自北京,回复@A-liceF:？？中国古代不是男的还当不了官，那时候大部分职业还都是农民，那你现在在干嘛？有工作么？是农民么？各个时代都有各个时代需要的韭菜，谁也看不到未来，不知道科技会发展成什么样。十年前，只有2g，付款要现金，你现在还不是适应了移动支付？咱不懂人工智能，当不了科学家，职业只有科学家一种是吧？,北京 昌平区,女
23年04月16日 00:11,"回复<a href=/n/銀河里的星星星 usercard=""name=@銀河里的星星星"">@銀河里的星星星</a>:不工作为什么发钱给你呀，未来ai当道，还能自我迭代，你所谓的有意义的事情是所有人都去研究科技创造吧？",来自广西,回复@銀河里的星星星:不工作为什么发钱给你呀，未来ai当道，还能自我迭代，你所谓的有意义的事情是所有人都去研究科技创造吧？,其他,女
23年04月15日 18:15,对呀，所以更不用焦虑了，当社会重复性无意义的工作能被人工智能取代，我们就可以干更有意义的事儿，挺好的呀,来自北京,对呀，所以更不用焦虑了，当社会重复性无意义的工作能被人工智能取代，我们就可以干更有意义的事儿，挺好的呀,北京 昌平区,女
23年04月15日 19:06,"回复<a href=/n/杨慕白1642 usercard=""name=@杨慕白1642"">@杨慕白1642</a>:没有那么神，我让他写的一个简单的程序还得我改一下才能正常执行",来自陕西,回复@杨慕白1642:没有那么神，我让他写的一个简单的程序还得我改一下才能正常执行,陕西,男
23年04月15日 17:57,AI的编程比人码的好,来自江苏,AI的编程比人码的好,其他,男
23年04月15日 20:18,"被人“投毒”了可能<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自四川,被人“投毒”了可能[允悲],其他,女
23年04月15日 17:48,"可能是告诉他3+4＝8的人太多了<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自上海,可能是告诉他3+4＝8的人太多了[doge],其他,男
23年04月15日 15:42,"反思，再做<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",来自广东,反思，再做[笑cry],广东 东莞,女
23年04月16日 11:52,我反而觉得工具人更没必要焦虑，现在没房没车，未来只会比现在更好，如果未来大部分群体（因为大部分都是工具人）都比现在活的更差，那国家就不会存在了，早开始革命动荡了,来自北京,我反而觉得工具人更没必要焦虑，现在没房没车，未来只会比现在更好，如果未来大部分群体（因为大部分都是工具人）都比现在活的更差，那国家就不会存在了，早开始革命动荡了,北京 昌平区,女
23年04月15日 20:49,"回复<a href=/n/血狼嚎2020 usercard=""name=@血狼嚎2020"">@血狼嚎2020</a>:？？？？？有智慧？怕是五百年，不，一千年后，都达不到这种科技，那时候你又不在了，你怕什么",来自北京,回复@血狼嚎2020:？？？？？有智慧？怕是五百年，不，一千年后，都达不到这种科技，那时候你又不在了，你怕什么,北京 昌平区,女
23年04月15日 18:45,"回复<a href=/n/銀河里的星星星 usercard=""name=@銀河里的星星星"">@銀河里的星星星</a>:不过也没关系，真到打破禁忌的时候，那些老板、政客、科学家等等也会失业，因为人工智能会以一种生命体形态取代人类<img alt=""[摊手]"" title=""[摊手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/62/2018new_tanshou_org.png"" />",来自北京,回复@銀河里的星星星:不过也没关系，真到打破禁忌的时候，那些老板、政客、科学家等等也会失业，因为人工智能会以一种生命体形态取代人类[摊手],北京 海淀区,男
23年04月15日 18:41,"回复<a href=/n/銀河里的星星星 usercard=""name=@銀河里的星星星"">@銀河里的星星星</a>:人工智能是人类创造，人类有法律，人工智能如果和人一样拥有智慧，你觉得三大准则能束缚住它么？人类突破禁忌是本能！人工智能并非单纯的工具！",来自北京,回复@銀河里的星星星:人工智能是人类创造，人类有法律，人工智能如果和人一样拥有智慧，你觉得三大准则能束缚住它么？人类突破禁忌是本能！人工智能并非单纯的工具！,北京 海淀区,男
23年04月15日 18:11,"回复<a href=/n/血狼嚎2020 usercard=""name=@血狼嚎2020"">@血狼嚎2020</a>:我们已经开过座谈会了，座谈会得内容，就是关于人工智能技术发展发展不必焦虑。即使不开座谈会，我也不会焦虑，我一个没车没房的人，未来我过得只会比这好，不会比这差，而且我一直在攒钱，想买个智能人，可以做饭可以打扫卫生，如果它不开发出来，我买的机会都没有。",来自北京,回复@血狼嚎2020:我们已经开过座谈会了，座谈会得内容，就是关于人工智能技术发展发展不必焦虑。即使不开座谈会，我也不会焦虑，我一个没车没房的人，未来我过得只会比这好，不会比这差，而且我一直在攒钱，想买个智能人，可以做饭可以打扫卫生，如果它不开发出来，我买的机会都没有。,北京 昌平区,女
23年04月15日 16:05,"你还是焦虑吧，这次行业内人都焦虑！这玩意儿不光是工具<img alt=""[挖鼻]"" title=""[挖鼻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9a/2018new_wabi_thumb.png"" />",来自北京,你还是焦虑吧，这次行业内人都焦虑！这玩意儿不光是工具[挖鼻],北京 海淀区,男
23年04月15日 16:05,因为电脑只是一种工具，AI是人工智能或者说是一种有智慧的“工具”,来自北京,因为电脑只是一种工具，AI是人工智能或者说是一种有智慧的“工具”,北京 海淀区,男
23年04月15日 15:42,因为你用过电脑就知道电脑没你聪明,来自河南,因为你用过电脑就知道电脑没你聪明,北京,男
23年04月15日 18:13,我觉得能被ai代替，对人类都是好事儿，人类进步，不就是靠自己“懒”才进步的么,来自北京,我觉得能被ai代替，对人类都是好事儿，人类进步，不就是靠自己“懒”才进步的么,北京 昌平区,女
23年04月15日 17:07,"回复<a href=/n/米呐闪 usercard=""name=@米呐闪"">@米呐闪</a>:吹吧，快又能怎样，你工作一天作完和三天做完，本质上没有太大差别，除非你一天做完一百天的，才有质的差别",来自内蒙古,回复@米呐闪:吹吧，快又能怎样，你工作一天作完和三天做完，本质上没有太大差别，除非你一天做完一百天的，才有质的差别,海外 斯洛文尼亚,男
23年04月15日 17:05,但是，速度快了，意味着不需要那么多人在同一岗位了，那同岗位的竞争压力会变得超强,来自广东,但是，速度快了，意味着不需要那么多人在同一岗位了，那同岗位的竞争压力会变得超强,广东 深圳,女
23年04月15日 16:55,是的说的太对了,来自中国,是的说的太对了,辽宁 阜新,女
23年04月15日 16:52,就是大势所趋吧！,来自辽宁,就是大势所趋吧！,辽宁,女
23年04月15日 16:48,为生活带来了很多方便,来自北京,为生活带来了很多方便,北京,女
23年04月15日 16:47,未来的发展趋势,来自北京,未来的发展趋势,北京,女
23年04月15日 16:47,未来的趋势。,来自辽宁,未来的趋势。,广东,男
23年04月15日 16:48,人工智能改变未来生活,来自黑龙江,人工智能改变未来生活,其他,女
23年04月15日 16:42,ai是未来的趋势,来自黑龙江,ai是未来的趋势,北京,女
23年04月15日 17:02,现在的小学生也太卷了,来自山西,现在的小学生也太卷了,山西 忻州,男
23年04月15日 17:01,科技引领未来,来自山西,科技引领未来,北京,男
23年04月15日 16:54,少年强则国强,来自北京,少年强则国强,北京,女
23年04月15日 16:53,小朋友们也太棒啦,来自广东,小朋友们也太棒啦,广东 广州,女
23年04月15日 16:43,是呢孩子们的心思太重了,来自中国,是呢孩子们的心思太重了,辽宁,女
23年04月15日 16:40,为祖国未来充满信心,来自广东,为祖国未来充满信心,安徽 合肥,男
23年04月15日 16:54,非常不错的选择,来自北京,非常不错的选择,北京,女
23年05月09日 19:38,不玩债券，不评论哈,来自浙江,不玩债券，不评论哈,海外,男
23年04月15日 17:09,确实相当优秀,来自山西,确实相当优秀,北京,女
23年04月15日 17:07,少年强则中国强,来自山西,少年强则中国强,山西 忻州,男
23年04月15日 16:57,实力不容小觑呀,来自北京,实力不容小觑呀,北京,女
23年04月15日 16:55,简直是太厉害了,来自北京,简直是太厉害了,北京,女
23年04月15日 16:56,祖国未来靠他们啦,来自广东,祖国未来靠他们啦,广东 广州,女
23年04月15日 16:53,是的希望这样,来自中国,是的希望这样,辽宁 阜新,女
23年04月15日 16:42,"真的很优秀<img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" />",来自陕西,真的很优秀[送花花],陕西 西安,女
23年04月15日 16:48,希望人工智能会在以后发展更好,来自广东,希望人工智能会在以后发展更好,湖北,女
23年04月15日 16:55,必须接受,来自中国,必须接受,辽宁 阜新,女
23年04月15日 16:53,是社会的进步。,来自辽宁,是社会的进步。,辽宁,女
23年04月15日 16:49,应该是大势所趋,来自北京,应该是大势所趋,北京,女
23年04月15日 16:47,就是一个趋势。,来自辽宁,就是一个趋势。,广东,男
23年04月15日 16:50,为生活带来很多便捷,来自北京,为生活带来很多便捷,北京,女
23年04月15日 16:49,"人工智能改变未来生活<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自黑龙江,人工智能改变未来生活[打call],其他,女
23年04月15日 16:43,"ai是未来的趋势<img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" />",来自黑龙江,ai是未来的趋势[送花花],北京,女
23年04月15日 16:47,"这样真的很好<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自北京,这样真的很好[打call][打call],山东 济宁,女
23年04月15日 16:43,应该从娃娃抓起,来自重庆,应该从娃娃抓起,重庆,女
23年04月15日 16:40,大家可以从小学起,来自山西,大家可以从小学起,山西 忻州,女
23年04月15日 16:39,"希望未来继续加油<img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" />",来自陕西,希望未来继续加油[送花花],陕西 西安,女
23年04月15日 16:59,多给孩子们普及,来自重庆,多给孩子们普及,重庆 江北区,女
23年04月15日 16:40,应该该从小抓起,来自重庆,应该该从小抓起,其他,女
23年04月15日 16:26,逐步成为未来的发展趋势,来自北京,逐步成为未来的发展趋势,北京,女
23年04月15日 16:37,"发展真的很好<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自北京,发展真的很好[打call],其他,女
23年04月15日 16:24,高科技的运用太强了,来自北京,高科技的运用太强了,北京,女
23年04月15日 16:50,"真的发展越来越好<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自北京,真的发展越来越好[打call],山东 济宁,女
